DeltaV (m³),DeltaP (Pa),C (m⁴·s²/kg)
0.0,0.0,
-0.010000000000000009,1023.2323232323251,-9.772951628825261e-06
-0.01980198019801982,2046.4646464646503,-9.676189731510161e-06
-0.02941176470588236,3069.6969696969754,-9.58132512629927e-06
-0.03883495145631066,4092.929292929286,-9.488302552257558e-06
-0.04807692307692302,5116.161616161611,-9.39706887387045e-06
-0.05714285714285716,6139.393939393936,-9.307572979833599e-06
-0.06603773584905659,7162.626262626261,-9.219765687571011e-06
-0.07476635514018692,8185.858585858587,-9.133599653107731e-06
-0.08333333333333337,9209.090909090912,-9.049029285949326e-06
-0.09174311926605505,10232.323232323237,-8.966010668647035e-06
-0.10000000000000009,11255.555555555562,-8.88450148075025e-06
-0.10810810810810811,12278.787878787873,-8.804460926869618e-06
-0.11607142857142849,13302.020202020198,-8.72584966859399e-06
-0.12389380530973448,14325.252525252523,-8.648629760022363e-06
-0.13157894736842102,15348.484848484848,-8.572764586688833e-06
-0.13913043478260867,16371.717171717173,-8.498218807674147e-06
-0.14655172413793105,17394.9494949495,-8.42495830071144e-06
-0.15384615384615385,18418.181818181823,-8.352950110107067e-06
-0.16101694915254228,19441.414141414134,-8.28216239730955e-06
-0.16806722689075626,20464.64646464646,-8.212564393970817e-06
-0.17499999999999993,21487.878787878784,-8.144126357354391e-06
-0.18181818181818177,22511.11111111111,-8.076819527954768e-06
-0.1885245901639344,23534.343434343435,-8.010616089201041e-06
-0.19512195121951226,24557.57575757576,-7.94548912912624e-06
-0.2016129032258065,25580.808080808085,-7.881412603891349e-06
-0.20799999999999996,26604.040404040396,-7.818361303060218e-06
-0.2142857142857143,27627.272727272735,-7.756310816527992e-06
-0.22047244094488183,28650.505050505046,-7.695237503012023e-06
-0.2265625,29673.73737373737,-7.635118460019745e-06
-0.2325581395348837,30696.969696969696,-7.575931495213388e-06
-0.2384615384615384,31720.202020202007,-7.5176550990963634e-06
-0.2442748091603053,32743.434343434346,-7.460268418950587e-06
-0.25,33766.66666666666,-7.403751233958541e-06
-0.2556390977443609,34789.898989899,-7.348083931447571e-06
-0.26119402985074625,35813.13131313131,-7.293247484197964e-06
-0.2666666666666667,36836.36363636365,-7.23922342875946e-06
-0.2720588235294118,37859.59595959596,-7.185993844724465e-06
-0.2773722627737225,38882.82828282827,-7.133541334908957e-06
-0.28260869565217395,39906.06060606061,-7.0818490063951246e-06
-0.28776978417266186,40929.29292929292,-7.030900452392283e-06
-0.2928571428571429,41952.52525252526,-6.9806797348751946e-06
-0.2978723404255319,42975.75757575757,-6.9311713679611865e-06
-0.30281690140845074,43998.98989898991,-6.882360301989627e-06
-0.3076923076923077,45022.22222222222,-6.8342319082694215e-06
-0.3124999999999999,46045.45454545453,-6.786771964461994e-06
-0.3172413793103448,47068.68686868687,-6.739966640569152e-06
-0.32191780821917815,48091.91919191921,-6.69380248549676e-06
-0.326530612244898,49115.15151515152,-6.648266414166851e-06
-0.33108108108108103,50138.38383838383,-6.60334569515221e-06
-0.3355704697986578,51161.61616161617,-6.559027938808908e-06
-0.33999999999999997,52184.84848484848,-6.515301085883514e-06
-0.3443708609271523,53208.08080808079,-6.472153396573029e-06
-0.3486842105263158,54231.31313131313,-6.429573440016627e-06
-0.3529411764705883,55254.54545454547,-6.387550084199523e-06
-0.3571428571428572,56277.77777777778,-6.346072486250177e-06
-0.3612903225806451,57301.01010101009,-6.305130083113078e-06
-0.3653846153846154,58324.24242424243,-6.264712582580302e-06
-0.3694267515923567,59347.47474747474,-6.224809954665779e-06
-0.3734177215189872,60370.70707070705,-6.185412423307134e-06
-0.37735849056603776,61393.93939393939,-6.146510458380674e-06
-0.3812500000000001,62417.17171717173,-6.108094768015794e-06
-0.3850931677018634,63440.40404040404,-6.070156291195821e-06
-0.38888888888888884,64463.63636363635,-6.0326861906328835e-06
-0.392638036809816,65486.86868686869,-5.995675845905075e-06
-0.39634146341463417,66510.101010101,-5.959116846844679e-06
-0.3999999999999999,67533.33333333331,-5.923000987166832e-06
-0.4036144578313253,68556.56565656565,-5.887320258328478e-06
-0.40718562874251507,69579.797979798,-5.852066843607947e-06
-0.4107142857142857,70603.0303030303,-5.8172331123959945e-06
-0.41420118343195267,71626.26262626261,-5.782811614689511e-06
-0.4176470588235295,72649.49494949495,-5.748795075779572e-06
-0.42105263157894735,73672.72727272726,-5.71517639112589e-06
-0.42441860465116277,74695.95959595958,-5.6819486214100426e-06
-0.4277456647398844,75719.19191919192,-5.649104987760273e-06
-0.4310344827586208,76742.42424242425,-5.616638867140961e-06
-0.4342857142857143,77765.65656565657,-5.584543787900155e-06
-0.4375,78788.88888888888,-5.552813425468905e-06
-0.44067796610169496,79812.12121212122,-5.521441598206368e-06
-0.4438202247191012,80835.35353535356,-5.490422263384984e-06
-0.44692737430167595,81858.58585858584,-5.459749513310209e-06
-0.44999999999999996,82881.81818181818,-5.429417571569595e-06
-0.45303867403314924,83905.05050505052,-5.399420789406227e-06
-0.4560439560439561,84928.28282828283,-5.369753642211688e-06
-0.4590163934426229,85951.51515151514,-5.3404107261340284e-06
-0.4619565217391305,86974.74747474748,-5.311386754796344e-06
-0.4648648648648649,87997.97979797982,-5.282676556121767e-06
-0.4677419354838709,89021.2121212121,-5.254275069260899e-06
-0.47058823529411764,90044.44444444444,-5.226177341617793e-06
-0.473404255319149,91067.67676767678,-5.198378525970889e-06
-0.47619047619047616,92090.90909090909,-5.170873877685328e-06
-0.47894736842105257,93114.1414141414,-5.143658752013301e-06
-0.481675392670157,94137.37373737374,-5.116728601479199e-06
-0.484375,95160.60606060608,-5.0900789733464945e-06
-0.4870466321243524,96183.83838383839,-5.063705507163354e-06
-0.48969072164948446,97207.0707070707,-5.03760393238416e-06
-0.49230769230769234,98230.30303030304,-5.011770066064242e-06
-0.4948979591836734,99253.53535353535,-4.986199810625138e-06
-0.4974619289340101,100276.76767676766,-4.9608891516879554e-06
-0.5,101300.0,-4.93583415597236e-06
